control,smsa,metro,msa360,msa520,msa875,msa1120,msa1600,msa1680,msa1920,msa2160,msa2800,msa3360,msa3760,msa4480,msa5000,msa5080,msa5120,msa5380,msa5600,msa5640,msa5720,msa5775,msa6160,msa6200,msa6280,msa6780,msa7040,msa7240,msa7320,msa7360,msa7400,msa7600,msa8280,msa8840,value,lnvalue,hprice,lnhprice,houseser,lnhouseser,airsys,baths,bedrms,built,ageunit,ageunitsq,crack,fplwk,garage,leak,porch,hown,per,hhage,hhagesq,hhgrad,hhmar,hhblack,hhmale,hhmove,hhmov,hhmovsq,hinc,lnhinc,lnperhinc,perhinc
600000000000,360,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,12,148,5,998,7,1,1,1,1960,51,2601,1,0,1,0,0,0,2,69,4761,1,1,0,0,2010,1,1,38178,11,11,70670
100000000000,360,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,12,148,5,1352,7,1,1,1,1980,31,961,0,0,1,0,1,1,2,65,4225,1,1,0,1,2001,10,100,42000,11,11,90476
110000000000,360,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180000,12,148,5,1364,7,1,1,1,1990,21,441,0,0,1,0,1,1,2,28,784,1,1,0,1,2010,1,1,74944,11,12,119734
390000000000,360,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190000,12,148,5,1710,7,1,1,2,1970,41,1681,0,0,1,0,1,1,3,35,1225,1,1,0,0,2003,8,64,45944,11,12,109157
500000000000,360,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200000,12,148,5,1649,7,1,1,2,1980,31,961,0,1,1,0,1,1,1,64,4096,1,0,0,1,1989,22,484,45000,11,11,54125
210000000000,360,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000,12,148,5,1066,7,1,1,2,1990,21,441,0,0,1,0,1,1,2,37,1369,1,0,0,0,2007,4,16,125944,12,11,63975
480000000000,360,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285000,13,148,5,1377,7,1,1,2,1940,71,5041,0,0,1,0,1,1,1,29,841,1,0,0,1,2009,2,4,74972,11,11,67828
100000000000,360,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300000,13,148,5,1873,8,1,1,2,2006,5,25,0,0,0,0,1,1,2,47,2209,1,1,0,1,2007,4,16,104944,12,12,113086
190000000000,360,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,11,148,5,995,7,1,2,2,1970,41,1681,0,0,1,0,1,0,1,67,4489,1,0,0,0,2002,9,81,62000,11,11,45133
100000000000,360,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295000,13,148,5,3243,8,1,2,2,1990,21,441,0,1,1,0,1,1,4,34,1156,1,1,0,0,2002,9,81,74444,11,12,104809
480000000000,360,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400000,13,148,5,3146,8,1,2,2,1975,36,1296,0,1,1,0,1,1,3,48,2304,1,1,0,1,1991,20,400,95944,11,12,116653
1000000000000,360,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,13,148,5,2575,8,1,2,2,1970,41,1681,0,1,1,0,1,1,2,74,5476,1,0,0,0,2006,5,25,19972,10,11,37814
390000000000,360,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595000,13,148,5,2937,8,1,2,2,1975,36,1296,0,1,1,0,1,1,2,85,7225,1,1,0,1,1976,35,1225,25359,10,11,51071
490000000000,360,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600000,13,148,5,3152,8,1,2,2,1970,41,1681,0,1,1,0,1,1,2,71,5041,1,1,0,1,1999,12,144,29608,10,11,78610
190000000000,360,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600000,13,148,5,2841,8,1,2,2,1960,51,2601,0,1,1,0,1,1,2,44,1936,1,0,0,0,2002,9,81,41322,11,11,62581
280000000000,360,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300000,13,148,5,2602,8,1,1,3,1975,36,1296,0,1,1,0,1,1,3,52,2704,1,1,0,0,1978,33,1089,104544,12,12,99650
290000000000,360,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329000,13,148,5,2963,8,1,1,3,1960,51,2601,0,1,1,0,1,1,2,44,1936,1,1,0,0,2011,0,0,59972,11,12,106815
