variables,Model 1 Coeff.,RFE 1 Coeff.,RFE 2 Coeff.,Lasso Coeff.
msa360,290228.49201530154,416404.8508153364,292732.2684691451,289327.9668039934
msa520,-72730.64578554487,217773.11812919608,-86016.36480173362,-63137.93544422015
msa875,172430.75638459975,253467.4565091925,197527.29036391247,167500.47805411872
msa1120,119538.40042247054,321092.6813424702,128789.9689760418,118746.12313369867
msa1600,8882.087648114708,307260.87079274235,8914.343763529938,10370.444497031369
msa1680,-140897.52607700133,531727.6184835553,-160536.71209557666,-132833.800086209
msa1920,-123007.98740097466,387990.16443943663,-144293.9358877599,-114363.87289192971
msa2160,-103443.53728128008,,-119685.73066477814,-98699.53957932878
msa2800,-225239.63858651964,,-267949.2832303088,-213544.2634113649
msa3360,-61257.42465424958,,-59616.74964885133,-53660.78851432254
msa3760,-55601.16309045292,,-83930.91369479265,-44746.10312325989
msa4480,225980.15446665615,,224902.92277646973,228468.3468250223
msa5000,-1980.9178268770881,,-16788.038323406214,0.0
msa5080,-30008.817153210133,,-30350.615833401625,-20165.943343700765
msa5120,-28386.316205832074,,-30810.580066804934,-21221.228478042907
msa5380,118775.8284199669,,126744.26280435034,117649.69674073077
msa5600,315965.83004762325,,340679.1874724117,317970.9728530138
msa5640,73425.69677246556,,105715.52445433152,70093.39897490539
msa5720,-96097.61414631348,,-127225.042833323,-84727.78195182991
msa5775,262192.6879652398,,281698.5117666569,260023.21418067333
msa6160,5280.444986990484,,589.0505934870591,7126.2434228582015
msa6200,-185457.30590094347,,-219988.6699403436,-176262.8224472722
msa6280,-106820.34343945357,,-124061.32461946209,-98633.18037245377
msa6780,-31604.869472119015,,-57672.818496068016,-21605.007838798807
msa7040,-85407.30743097066,,-93480.91706644412,-76509.09826551918
msa7240,-104246.70004547763,,-137695.16339673792,-91605.23201841059
msa7320,160215.25995732838,,158323.7830030137,159315.68488653575
msa7360,440440.8399566429,,480314.0610251863,435853.4315049902
msa7400,289616.97853359976,,297375.2448266312,287281.0162880359
msa7600,151198.00812541693,,165105.48347561332,149303.23977094435
msa8280,-70310.23042309452,,-94571.43960348301,-61104.19426274243
msa8840,156150.56203199623,,184790.36810072366,155892.29588685016
metro,37430.792709984955,,42185.248512165774,35424.723372514905
hown,-4135.4271409787625,,-887.9317251974207,-2123.6206224865464
hhblack,-17818.14319061042,,-29836.168137352004,-16826.047212900354
hinc,0.9813279903500965,,-14629.640465825578,0.9895806980042471
per,-19405.916520544266,,25766.439935045928,-19247.231482276264
bedrms,18557.949988806224,,-721.5493138636169,18388.293679732218
built,-746.8677236567681,,12174.92459340776,-785.5991190847129
leak,4878.343207088414,,137.92336943373087,3961.4228491017257
houseser,118.11779922353637,,-1063.1066416676633,117.48381015862118
hhmov,37.762066626074095,,15998.660362118042,54.12464059957051
fplwk,-980.5627401543485,,,-0.0
constant,1352703.6491285104,1352703.6491285104,1320280.5346842445,1424258.5356843215
MAE,141869.51346676023,184334.37935107725,144478.3587527386,141423.1723322619
MSE,56293623712.660645,90038470855.66362,59016813252.76808,56317705978.717415
RMSE,237262.7735500465,300064.1112423537,242933.7630976149,237313.51832273992
R2,0.459515876822322,0.4333700966475671,0.4333700966475671,0.4333700966475671
ADJ_R,0.44726452347670254,0.11593083174282526,0.42052608724105434,0.4470280646750344
