Date,PLTR,CSIQ,WMT,INTC,XOM
10/01/20,9.46,36.349998,136.585449,47.513191,28.344952
10/02/20,9.2,35.900002,134.122559,46.394485,28.216616
10/05/20,9.03,38.25,135.363586,47.012951,28.86685
10/06/20,9.9,38.919998,134.246643,46.721905,28.5674
10/07/20,10,40.779999,134.494858,47.904278,28.661514
10/08/20,10,39.48,134.943542,48.540943,30.167315
10/09/20,9.95,41.619999,136.299042,48.040707,29.722422
10/12/20,9.89,37.849998,137.702316,49.004799,29.628305
10/13/20,9.47,39.240002,139.592468,48.959316,29.277525
10/14/20,9.34,39.700001,137.406403,48.704655,29.217634
10/15/20,9.91,38.91,137.96962,48.977509,29.4743
10/16/20,9.71,37.970001,138.141479,49.259464,29.174852
10/19/20,9.57,39.459999,136.461349,49.641464,28.593065
10/20/20,9.27,44.119999,137.36821,48.59552,28.832628
10/21/20,9.2,39.509998,137.84552,48.65918,28.370617
10/22/20,9.68,39.900002,137.034134,49.02298,29.825085
10/23/20,9.49,40.369999,137.320526,43.838734,29.226187
10/26/20,9.95,38.740002,135.707214,42.492653,28.53318
10/27/20,10.95,38.009998,136.384964,41.510376,28.079727
10/28/20,10.85,37.990002,133.683441,40.24614,27.010267
10/29/20,10.75,37.68,133.568848,40.118809,28.208061
10/30/20,10.13,36.349998,132.451981,40.27343,27.908611
11/02/20,10.54,36.959999,134.027084,40.437138,29.080744
11/03/20,10.5,36.73,136.299042,40.791859,28.584511
11/04/20,10.72,35.700001,135.516312,41.564945,28.430513
11/05/20,11.88,39.970001,136.957733,41.848946,28.379173
11/06/20,13.83,39.849998,139.153351,41.583267,28.045506
11/09/20,14.67,39.32,137.024536,41.77565,31.596107
11/10/20,14,38.93,138.952866,41.62907,32.297077
11/11/20,15.96,40.509998,141.263016,42.462753,31.964121
11/12/20,14.58,39.419998,141.501663,41.180172,30.868853
11/13/20,15.8,38.830002,143.706833,41.647396,31.613634
11/16/20,15.93,38.73,145.520584,42.316166,33.436153
11/17/20,17.85,39.689999,142.589935,41.711525,33.883011
11/18/20,17.9,38.720001,142.322632,41.280937,32.603748
11/19/20,18.98,37.16,145.215103,41.793983,32.770233
11/20/20,18.15,38.43,143.420456,41.583267,32.367176
11/23/20,21.040001,39.830002,144.079117,42.197079,34.487598
11/24/20,23.82,40.619999,144.489609,43.067398,36.783276
11/25/20,29.049999,42.900002,144.938263,43.104042,35.758099
11/27/20,27.66,44.169998,144.718719,43.470497,35.214848
11/30/20,27.110001,42.759998,145.854691,44.295013,33.409859
12/01/20,25.67,41.98,145.711517,45.403538,33.734058
12/02/20,22.51,41.900002,143.687729,45.715031,34.995796
12/03/20,24.030001,40.439999,142.523117,46.713608,35.232376
12/04/20,23.85,40.529999,142.150818,47.629742,36.520401
12/07/20,28.940001,39.709999,141.387131,45.989868,35.836964
12/08/20,28.59,39.959999,142.66629,46.438763,37.011082
12/09/20,26.629999,37.529999,141.539871,45.870773,37.501755
12/10/20,27.040001,38.009998,140.878769,46.04483,38.561977
12/11/20,27.200001,37.950001,140.840454,45.559284,38.377968
12/14/20,27.24,38.650002,139.547028,46.237217,36.993557
12/15/20,26.43,43.02,139.479965,46.420456,37.712048
12/16/20,25.92,42.099998,139.336258,46.832703,38.290348
12/17/20,27.23,41.360001,139.978165,46.402119,38.09758
12/18/20,25.969999,45.02,139.834457,43.479668,37.44043
12/21/20,28.51,47.98,139.853622,42.47192,36.756985
12/22/20,28.040001,53.16,138.157791,42.297844,36.134872
12/23/20,28.690001,52.93,137.218826,42.664303,36.599262
12/24/20,27.75,52.709999,137.487106,43.122372,36.45031
12/28/20,25.629999,51.259998,139.135025,43.122372,36.572979
12/29/20,24.66,49.509998,138.253601,45.247791,36.161156
12/30/20,25.1,50.68,138.138611,44.661465,36.45031
12/31/20,23.549999,51.240002,138.109879,45.641731,36.117344
01/04/21,23.370001,52.639999,140.390137,45.504314,36.362694
01/05/21,24.6,50.52,139.642838,46.365482,38.115105
01/06/21,23.540001,54.310001,140.514709,46.814384,39.087696
01/07/21,25,56.610001,140.505142,47.812965,39.394371
01/08/21,25.200001,56.07,140.485947,47.318253,39.832474
01/11/21,25.93,56.200001,141.118286,47.217487,41.041645
01/12/21,26.18,55.98,142.72789,48.77491,41.952911
01/13/21,25.5,54.450001,141.271576,52.173763,42.426056
01/14/21,24.92,55.619999,140.811707,54.280872,44.082085
01/15/21,25.639999,51.27,138.57933,52.750923,41.961666
01/19/21,26.620001,55.029999,137.381729,53.126545,42.794064
01/20/21,26.34,57.220001,139.412888,53.749508,43.398643
01/21/21,25.98,64.150002,138.780563,57.221653,42.154434
01/22/21,32.580002,63,140.198532,51.908085,41.558613
01/25/21,36.23,60.57,140.073975,50.790398,41.094223
01/26/21,35.369999,60.459999,141.329086,50.579689,40.191719
01/27/21,39,58.900002,137.812866,49.095551,39.736088
01/28/21,35.66,57.48,137.726608,51.367565,40.358204
01/29/21,35.18,54.75,134.603226,50.854527,39.28923
02/01/21,33.959999,55.849998,133.434357,51.935566,39.359322
02/02/21,31.02,57.77,134.871506,53.135708,39.981441
02/03/21,31.76,59.209999,135.283478,52.842541,41.549843
02/04/21,32.049999,58.169998,136.557739,54.186359,42.347202
02/05/21,34.049999,57.880001,138.311066,53.62413,43.766663
02/08/21,36.049999,59.5,138.952988,54.52739,45.650509
02/09/21,38.169998,60.73,139.719467,54.177151,45.11586
02/10/21,35.700001,60.75,138.090714,54.250885,45.55249
02/11/21,33.110001,61.23,137.985306,55.909931,44.411892
02/12/21,31.91,60.470001,138.416473,56.969887,45.017838
02/16/21,27.84,57.880001,139.556595,57.578201,46.372288
02/17/21,27.08,55.82,141.032074,57.006752,47.094074
02/18/21,25.17,52.009998,131.891815,56.785538,46.354469
02/19/21,29,52.779999,132.543304,58.075916,46.666348
02/22/21,28,48.040001,131.920532,55.956009,48.38615
02/23/21,26.75,46.349998,129.793594,56.333912,49.054466
02/24/21,26.389999,48.759998,127.628304,58.241814,50.524769
02/25/21,23.959999,45.619999,126.421059,55.670296,49.687141
02/26/21,23.9,46.93,124.476135,56.020535,48.448536
03/01/21,24.809999,49.59,125.865364,57.956097,50.257435
03/02/21,24.48,47.939999,124.658165,56.444519,49.963375
03/03/21,23.59,43.419998,122.243759,55.20945,50.364365
03/04/21,24.73,41.459999,122.186272,53.762383,52.315853
03/05/21,23.950001,40.580002,123.709648,55.983669,54.294075
03/08/21,22.52,39.610001,122.521614,55.163361,54.240604
03/09/21,24.26,43.93,123.489296,57.762535,53.402988
03/10/21,24.75,43.32,126.641426,57.375427,55.042583
03/11/21,26.73,46.950001,126.593513,58.352425,54.63269
03/12/21,26.92,45.98,128.500153,57.974529,55.220802
03/15/21,26.790001,44.84,127.839066,58.794834,53.812889
03/16/21,25.610001,42.52,127.800728,59.70731,52.672291
03/17/21,25.209999,41.400002,126.737236,60.629009,52.903976
03/18/21,23.98,42.860001,125.08242,58.739529,50.622787
03/19/21,24.32,45.43,126.74688,58.767185,50.337643
03/22/21,24.219999,48.799999,127.352989,60.490749,49.820805
03/23/21,23.26,47.419998,128.863495,58.509106,49.205956
03/24/21,21.879999,44.990002,128.064957,57.181873,50.203972
03/25/21,22.58,44.43,128.930817,57.163433,50.061398
03/26/21,22.58,46.84,130.008392,59.790264,51.424767
03/29/21,21.73,45.080002,131.48999,59.449238,51.148533
03/30/21,22.040001,48.869999,130.595276,58.776405,50.515854
03/31/21,23.290001,49.630001,130.68187,58.988388,49.749516
04/01/21,23.07,48.509998,130.479813,59.495323,51.139614
04/05/21,23.440001,46.419998,134.145401,61.329487,50.346546
04/06/21,23.27,47.75,134.790009,60.426224,50.203972
04/07/21,22.9,45.720001,134.501389,61.062199,50.426739
04/08/21,23.41,44.82,134.41478,61.799564,49.900997
04/09/21,24.040001,43.369999,134.482147,62.914803,49.785156
04/12/21,23.34,43.27,134.501389,60.287983,49.45546
04/13/21,25.42,43.540001,134.087677,60.112854,49.642593
04/14/21,23.700001,42.66,134.039581,59.163513,51.077236
04/15/21,23.15,42.709999,134.847733,59.92852,50.774273
04/16/21,22.469999,44.110001,135.28067,59.679672,50.489117
04/19/21,21.940001,42.59,134.41478,58.647366,50.328728
04/20/21,21.780001,42.91,135.453857,57.790199,49.268333
04/21/21,22.629999,44.5,135.848312,58.711884,49.900997
04/22/21,22.860001,44.82,134.376312,57.670368,49.250504
04/23/21,23.41,45.75,134.597565,54.601128,49.51783
04/26/21,24.110001,46.259998,132.683029,54.158714,49.615852
04/27/21,23.879999,45.57,133.135178,53.430576,50.266346
04/28/21,23.85,44.009998,132.663788,53.10799,51.781204
04/29/21,23.370001,42.889999,134.33783,53.716301,52.520802
04/30/21,23.040001,41.240002,134.607208,53.025028,51.005962
05/03/21,22.299999,41.330002,136.733444,52.776169,52.413872
05/04/21,21.639999,39.200001,135.386505,52.444363,52.743576
05/05/21,21.15,39.009998,135.271057,52.398281,54.32972
05/06/21,20.09,39.200001,136.236938,53.036308,54.84655
05/07/21,19.75,39.630001,135.415924,53.481449,55.630707
05/10/21,18.469999,37.380001,136.014786,51.904926,55.76437
05/11/21,20.209999,38.110001,134.788116,51.042473,53.991112
05/12/21,18.889999,35.549999,131.3013,49.725597,54.280407
05/13/21,18.370001,35.25,133.522827,50.087273,53.611397
05/14/21,20.08,36.619999,134.759171,51.329952,54.94038
05/17/21,20.459999,36.099998,134.150635,51.311409,56.224155
05/18/21,21.24,36.209999,137.067566,50.856991,54.632992
05/19/21,20.67,36.959999,137.077271,51.339233,53.322098
05/20/21,20.610001,39.290001,137.560181,51.886375,53.195526
05/21/21,20.75,39.049999,136.913025,52.006935,53.267849
05/24/21,21.219999,38.41,136.922714,52.823021,53.891655
05/25/21,21.48,38.18,137.48291,52.739548,52.671162
05/26/21,22.120001,41,137.31871,52.785919,53.285927
05/27/21,22.700001,39.610001,136.855103,53.537094,52.942383
05/28/21,22.950001,39.580002,137.183472,52.971394,52.770607
06/01/21,23.059999,40.119999,136.826126,52.758106,54.660114
06/02/21,24.450001,39.77,136.526672,53.305256,55.094063
06/03/21,23.629999,38.240002,136.768173,52.155315,55.311054
06/04/21,24.030001,38.830002,137.009628,53.203243,55.555153
06/07/21,24.459999,37.849998,136.092026,52.943581,55.19352
06/08/21,24.379999,39.169998,135.058594,52.860111,56.169914
06/09/21,24.17,38.59,134.334152,52.860111,56.640034
06/10/21,24.139999,39.900002,135.106857,53.212509,56.730438
06/11/21,24.67,40.27,135.947174,53.648384,56.206078
06/14/21,25,40.25,135.763672,53.963688,56.115665
06/15/21,24.41,38.139999,135.222778,53.778214,58.158875
06/16/21,24.799999,37.810001,132.470016,53.064137,57.950939
06/17/21,25.450001,39.43,133.020569,53.027039,56.043343
06/18/21,25.370001,39.389999,130.557556,51.626713,54.605873
06/21/21,25.42,38.34,131.745605,51.812183,56.585789
06/22/21,25.4,37.950001,132.354111,51.812183,57.670677
06/23/21,26.27,38.720001,131.320633,51.246494,58.095585
06/24/21,26.530001,38.689999,132.238205,51.997662,58.330643
06/25/21,26.780001,40.43,133.802933,51.849281,58.457218
06/28/21,27.379999,45.5,133.387619,53.305256,56.965492
06/29/21,26.629999,47.119999,132.614883,52.628277,56.612907
06/30/21,26.360001,44.84,136.207977,52.062576,57.028778
07/01/21,24.719999,43.639999,134.565979,51.942017,57.191513
07/02/21,24.440001,43.080002,135.329025,52.637543,57.110142
07/06/21,24.68,43.740002,135.164825,52.016205,55.482819
07/07/21,22.889999,43.049999,134.942657,51.895645,54.614918
07/08/21,23.08,41.299999,134.826752,51.36705,54.370808
07/09/21,23.290001,40.810001,135.512543,51.92347,55.356251
07/12/21,22.950001,43.09,135.271042,52.609722,55.302006
07/13/21,22.450001,42.040001,135.782974,52.739548,55.039822
07/14/21,21.559999,39.610001,136.719894,52.414978,53.819324
07/15/21,21.469999,38.669998,136.826126,51.75655,53.294971
07/16/21,21.370001,37.639999,136.729538,50.977551,51.821331
07/19/21,21.540001,37.75,136.410782,50.671516,50.04031
07/20/21,22.18,38.200001,137.028946,51.227943,50.591797
07/21/21,22.52,40.009998,136.352829,52.146038,52.219124
